Sample_ID,Analysis_Type,Year,Month,Day,Time,Time_Point,Exp_Sample_Type,Treatment_ratio,Replicate,Bottle_Nr,Notes,"Keyword: SAMPLE ID for Plot #2, overlay #1",,,Filename,Nr of Events,"Nr of Events, Gate 1","Nr of Events, Gate 2","Nr of Events, Top","Nr of Events, gate4","Nr of Events, LDNA",Concentration,Concentration_Gate1,Concentration_Gate2,Concentration_Gate3,Concentration_Gate4,Concentration_LDNA
CU18_391,Virus,2018,11,28,00;15,0,Experiment,Dictyota,1,1,0,CU18,391,2,ba190218.052,19605,5059,1213,419,37,1720,852391.3043,219956.5217,52739.13043,18217.3913,1608.695652,74782.6087
CU18_392,Virus,2018,11,28,00;15,0,Experiment,Dictyota,2,2,0,CU18,392,2,ba190218.054,19575,5750,1308,425,35,2135,851086.9565,250000,56869.56522,18478.26087,1521.73913,92826.08696
CU18_393,Virus,2018,11,28,00;15,0,Experiment,Dictyota,3,3,0,CU18,393,2,ba190218.056,17085,5038,1125,348,31,1853,742826.087,219043.4783,48913.04348,15130.43478,1347.826087,80565.21739
CU18_394,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,1,4,0,CU18,394,2,ba190218.058,14910,4402,1095,269,15,1552,648260.8696,191391.3043,47608.69565,11695.65217,652.173913,67478.26087
CU18_395,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,2,5,0,CU18,395,2,ba190218.060,12480,4074,702,144,5,1671,542608.6957,177130.4348,30521.73913,6260.869565,217.3913043,72652.17391
CU18_396,Virus,2018,11,28,00;15,0,Experiment,Coral_Dictyota,3,6,0,CU18,396,2,ba190218.062,16110,4230,992,288,26,1498,700434.7826,183913.0435,43130.43478,12521.73913,1130.434783,65130.43478
CU18_397,Virus,2018,11,28,00;15,0,Experiment,Coral,1,7,0,CU18,397,2,ba190218.064,14715,4518,1001,244,20,1733,639782.6087,196434.7826,43521.73913,10608.69565,869.5652174,75347.82609
CU18_398,Virus,2018,11,28,00;15,0,Experiment,Coral,2,8,0,CU18,398,2,ba190218.066,18600,5045,1281,389,50,1544,808695.6522,219347.8261,55695.65217,16913.04348,2173.913043,67130.43478
CU18_399,Virus,2018,11,28,00;15,0,Experiment,Coral,3,9,0,CU18,399,10,ba190218.089,3735,994,242,118,11,213,811956.5217,216086.9565,52608.69565,25652.17391,2391.304348,46304.34783
CU18_400,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,1,10,0,CU18,400,2,ba190218.092,17145,4681,1106,404,39,1451,745434.7826,203521.7391,48086.95652,17565.21739,1695.652174,63086.95652
CU18_401,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,2,11,0,CU18,401,2,ba190218.094,17595,4788,1165,470,37,1524,765000,208173.913,50652.17391,20434.78261,1608.695652,66260.86957
CU18_402,Virus,2018,11,28,00;15,0,Experiment,Coral_Turf,3,12,0,CU18,402,2,ba190218.096,17400,5029,1220,419,45,1615,756521.7391,218652.1739,53043.47826,18217.3913,1956.521739,70217.3913
CU18_403,Virus,2018,11,28,00;15,0,Experiment,Turf,1,13,0,CU18,403,2,ba190218.098,13545,4190,1072,293,15,1640,588913.0435,182173.913,46608.69565,12739.13043,652.173913,71304.34783
CU18_405,Virus,2018,11,28,00;15,0,Experiment,Turf,2,14,0,CU18,405,2,ba190218.100,14100,4022,1107,307,18,1439,613043.4783,174869.5652,48130.43478,13347.82609,782.6086957,62565.21739
CU18_406,Virus,2018,11,28,00;15,0,Experiment,Turf,3,15,0,CU18,406,2,ba190218.102,12735,3815,1049,302,18,1358,553695.6522,165869.5652,45608.69565,13130.43478,782.6086957,59043.47826
CU18_407,Virus,2018,11,28,00;15,0,Control,Control,1,16,0,CU18,407,2,ba190218.104,19770,4360,1150,361,20,1607,859565.2174,189565.2174,50000,15695.65217,869.5652174,69869.56522
CU18_408,Virus,2018,11,28,00;15,0,Control,Control,2,17,0,CU18,408,2,ba190218.106,18180,4308,1223,360,25,1498,790434.7826,187304.3478,53173.91304,15652.17391,1086.956522,65130.43478
CU18_409,Virus,2018,11,28,00;15,0,Control,Control,3,18,0,CU18,409,2,ba190218.108,18315,4262,1210,380,31,1444,796304.3478,185304.3478,52608.69565,16521.73913,1347.826087,62782.6087
CU18_190219,Virus,2018,11,28,00;15,0,BLANK,BLANK,0,0,0,CU18,190219,1,ba190219.021,135,7,0,0,0,1,2934.782609,152.173913,0,0,0,21.73913043
CU18_190219,Virus,2018,11,28,00;15,0,BLANK,BLANK,0,0,0,CU18,190219,1,ba190219.022,120,5,0,0,0,1,2608.695652,108.6956522,0,0,0,21.73913043
CU18_428,Virus,2018,11,28,09;00,9,Experiment,Dictyota,1,1,0,CU18,428,10,ba190219.023,6780,2108,435,244,91,744,1473913.043,458260.8696,94565.21739,53043.47826,19782.6087,161739.1304
CU18_429,Virus,2018,11,28,09;00,9,Experiment,Dictyota,2,2,0,CU18,429,2,ba190219.026,4665,2289,144,58,1,1325,202826.087,99521.73913,6260.869565,2521.73913,43.47826087,57608.69565
CU18_430,Virus,2018,11,28,09;00,9,Experiment,Dictyota,3,3,0,CU18,430,10,ba190219.027,7155,2585,557,262,62,928,1555434.783,561956.5217,121086.9565,56956.52174,13478.26087,201739.1304
CU18_431,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,1,4,0,CU18,431,10,ba190219.035,2370,956,119,71,25,407,515217.3913,207826.087,25869.56522,15434.78261,5434.782609,88478.26087
CU18_432,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,2,5,0,CU18,432,2,ba190219.038,10950,4618,898,567,226,1416,476086.9565,200782.6087,39043.47826,24652.17391,9826.086957,61565.21739
CU18_433,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,3,6,0,CU18,433,10,ba190219.039,7845,3378,543,741,294,802,1705434.783,734347.8261,118043.4783,161086.9565,63913.04348,174347.8261
CU18_434,Virus,2018,11,28,09;00,9,Experiment,Coral,1,7,0,CU18,434,10,ba190219.041,5880,1963,402,493,176,498,1278260.87,426739.1304,87391.30435,107173.913,38260.86957,108260.8696
CU18_435,Virus,2018,11,28,09;00,9,Experiment,Coral,2,8,0,CU18,435,10,ba190219.043,6360,2355,484,624,178,609,1382608.696,511956.5217,105217.3913,135652.1739,38695.65217,132391.3043
CU18_436,Virus,2018,11,28,09;00,9,Experiment,Coral,3,9,0,CU18,436,10,ba190219.045,6285,1962,400,610,96,512,1366304.348,426521.7391,86956.52174,132608.6957,20869.56522,111304.3478
CU18_437,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,1,10,0,CU18,437,2,ba190219.066,14460,5676,1242,889,239,1648,628695.6522,246782.6087,54000,38652.17391,10391.30435,71652.17391
CU18_438,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,2,11,0,CU18,438,2,ba190219.068,15270,6633,1310,1417,350,1427,663913.0435,288391.3043,56956.52174,61608.69565,15217.3913,62043.47826
CU18_439,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,3,12,0,CU18,439,2,ba190219.070,15090,5472,1269,748,244,1650,656086.9565,237913.0435,55173.91304,32521.73913,10608.69565,71739.13043
CU18_440,Virus,2018,11,28,09;00,9,Experiment,Turf,1,13,0,CU18,440,2,ba190219.072,13170,5007,1180,545,175,1669,572608.6957,217695.6522,51304.34783,23695.65217,7608.695652,72565.21739
CU18_441,Virus,2018,11,28,09;00,9,Experiment,Turf,2,14,0,CU18,441,2,ba190219.074,13140,4566,1152,536,186,1425,571304.3478,198521.7391,50086.95652,23304.34783,8086.956522,61956.52174
CU18_442,Virus,2018,11,28,09;00,9,Experiment,Turf,3,15,0,CU18,442,2,ba190219.076,13845,5190,1216,632,215,1653,601956.5217,225652.1739,52869.56522,27478.26087,9347.826087,71869.56522
CU18_443,Virus,2018,11,28,09;00,9,Control,Control,1,16,0,CU18,443,2,ba190219.078,18870,5847,1195,821,211,1673,820434.7826,254217.3913,51956.52174,35695.65217,9173.913043,72739.13043
CU18_444,Virus,2018,11,28,09;00,9,Control,Control,2,17,0,CU18,444,2,ba190219.080,19500,5878,1436,1012,293,1696,847826.087,255565.2174,62434.78261,44000,12739.13043,73739.13043
CU18_445,Virus,2018,11,28,09;00,9,Control,Control,3,18,0,CU18,445,2,ba190219.082,18525,5373,1253,794,251,1456,805434.7826,233608.6957,54478.26087,34521.73913,10913.04348,63304.34783
CU18_504,Virus,2018,11,28,18;00,18,Experiment,Dictyota,1,1,0,CU18,504,2,ba190219.102,32325,22434,5291,6428,554,5204,1405434.783,975391.3043,230043.4783,279478.2609,24086.95652,226260.8696
CU18_505,Virus,2018,11,28,18;00,18,Experiment,Dictyota,2,2,0,CU18,505,2,ba190219.104,31095,21157,5190,6097,554,4776,1351956.522,919869.5652,225652.1739,265086.9565,24086.95652,207652.1739
CU18_506,Virus,2018,11,28,18;00,18,Experiment,Dictyota,3,3,0,CU18,506,10,ba190219.105,8295,5608,1643,2854,295,420,1803260.87,1219130.435,357173.913,620434.7826,64130.43478,91304.34783
CU18_507,Virus,2018,11,28,18;00,18,Experiment,Coral_Dictyota,1,4,0,CU18,507,2,ba190219.108,31650,21757,6690,6623,314,4673,1376086.957,945956.5217,290869.5652,287956.5217,13652.17391,203173.913
CU18_508,Virus,2018,11,28,18;00,18,Experiment,Coral_Dictyota,2,5,0,CU18,508,2,ba190219.110,31095,21644,6358,6406,279,4734,1351956.522,941043.4783,276434.7826,278521.7391,12130.43478,205826.087
CU18_509,Virus,2018,11,28,18;00,18,Experiment,Coral_Dictyota,3,6,0,CU18,509,2,ba190219.112,31875,22715,6852,8042,395,4327,1385869.565,987608.6957,297913.0435,349652.1739,17173.91304,188130.4348
CU18_510,Virus,2018,11,28,18;00,18,Experiment,Coral,1,7,0,CU18,510,2,ba190219.114,23145,14197,4891,4940,254,2605,1006304.348,617260.8696,212652.1739,214782.6087,11043.47826,113260.8696
CU18_511,Virus,2018,11,28,18;00,18,Experiment,Coral,2,8,0,CU18,511,2,ba190219.116,30495,19716,7678,5979,299,3504,1325869.565,857217.3913,333826.087,259956.5217,13000,152347.8261
CU18_512,Virus,2018,11,28,18;00,18,Experiment,Coral,3,9,0,CU18,512,2,ba190219.118,29070,19179,7632,6335,306,2999,1263913.043,833869.5652,331826.087,275434.7826,13304.34783,130391.3043
CU18_blank5,Virus,2018,11,28,18;01,0,BLANK,BLANK,0,0,0,CU18,190219,1,ba190219.138,60,7,1,4,0,0,1304.347826,152.173913,21.73913043,86.95652174,0,0
CU18_513,Virus,2018,11,28,18;00,18,Experiment,Coral_Turf,1,10,0,CU18,513,2,ba190219.140,38550,28038,8587,8858,393,6531,1676086.957,1219043.478,373347.8261,385130.4348,17086.95652,283956.5217
CU18_514,Virus,2018,11,28,18;00,18,Experiment,Coral_Turf,2,11,0,CU18,514,2,ba190219.142,34110,25242,7765,8215,369,6109,1483043.478,1097478.261,337608.6957,357173.913,16043.47826,265608.6957
CU18_515,Virus,2018,11,28,18;00,18,Experiment,Coral_Turf,3,12,0,CU18,515,2,ba190219.144,34545,25505,7716,8604,526,5727,1501956.522,1108913.043,335478.2609,374086.9565,22869.56522,249000
CU18_516,Virus,2018,11,28,18;00,18,Experiment,Turf,1,13,0,CU18,516,10,ba190219.145,8775,6133,2929,2187,291,316,1907608.696,1333260.87,636739.1304,475434.7826,63260.86957,68695.65217
CU18_517,Virus,2018,11,28,18;00,18,Experiment,Turf,2,14,0,CU18,517,10,ba190219.147,7980,5552,2403,2170,223,342,1734782.609,1206956.522,522391.3043,471739.1304,48478.26087,74347.82609
CU18_518,Virus,2018,11,28,18;00,18,Experiment,Turf,3,15,0,CU18,518,10,ba190219.149,7905,5618,2291,2380,239,322,1718478.261,1221304.348,498043.4783,517391.3043,51956.52174,70000
CU18_519,Virus,2018,11,28,18;00,18,Control,Control,1,16,0,CU18,519,2,ba190219.152,34575,20011,8082,6913,459,2267,1503260.87,870043.4783,351391.3043,300565.2174,19956.52174,98565.21739
CU18_520,Virus,2018,11,28,18;00,18,Control,Control,2,17,0,CU18,520,2,ba190219.154,32940,19861,7871,6994,493,2380,1432173.913,863521.7391,342217.3913,304086.9565,21434.78261,103478.2609
CU18_521,Virus,2018,11,28,18;00,18,Control,Control,3,18,0,CU18,521,10,ba190219.156,9885,5274,1760,2419,181,311,2148913.043,1146521.739,382608.6957,525869.5652,39347.82609,67608.69565
CU18_540,Virus,2018,11,28,21;00,21,Experiment,Dictyota,1,1,0,CU18,540,10,ba190220.021,10560,7525,2390,3549,303,545,2295652.174,1635869.565,519565.2174,771521.7391,65869.56522,118478.2609
CU18_541,Virus,2018,11,28,21;00,21,Experiment,Dictyota,2,2,0,CU18,541,10,ba190220.023,14235,10253,2917,3707,247,1808,3094565.217,2228913.043,634130.4348,805869.5652,53695.65217,393043.4783
CU18_542,Virus,2018,11,28,21;00,21,Experiment,Dictyota,3,3,0,CU18,542,10,ba190220.025,15975,11494,3276,4339,302,1966,3472826.087,2498695.652,712173.913,943260.8696,65652.17391,427391.3043
CU18_543,Virus,2018,11,28,21;00,21,Experiment,Coral_Dictyota,1,4,0,CU18,543,10,ba190220.027,10080,6862,2317,3400,143,398,2191304.348,1491739.13,503695.6522,739130.4348,31086.95652,86521.73913
CU18_544,Virus,2018,11,28,21;00,21,Experiment,Coral_Dictyota,2,5,0,CU18,544,10,ba190220.029,19590,13829,4255,4689,159,2549,4258695.652,3006304.348,925000,1019347.826,34565.21739,554130.4348
CU18_545,Virus,2018,11,28,21;00,21,Experiment,Coral_Dictyota,3,6,0,CU18,545,10,ba190220.031,18435,12794,4168,4677,156,2150,4007608.696,2781304.348,906086.9565,1016739.13,33913.04348,467391.3043
CU18_546,Virus,2018,11,28,21;00,21,Experiment,Coral,1,7,0,CU18,546,10,ba190220.033,17145,10596,3798,3774,139,1656,3727173.913,2303478.261,825652.1739,820434.7826,30217.3913,360000
CU18_548,Virus,2018,11,28,21;00,21,Experiment,Coral,2,8,0,CU18,548,10,ba190220.035,14910,9232,3353,4069,131,869,3241304.348,2006956.522,728913.0435,884565.2174,28478.26087,188913.0435
CU18_550,Virus,2018,11,28,21;00,21,Experiment,Coral_Turf,1,10,0,CU18,550,10,ba190220.037,17610,13191,5067,5710,186,1012,3828260.87,2867608.696,1101521.739,1241304.348,40434.78261,220000
CU18_551,Virus,2018,11,28,21;00,21,Experiment,Coral_Turf,2,11,0,CU18,551,10,ba190220.057,10125,7620,3067,3579,101,368,2201086.957,1656521.739,666739.1304,778043.4783,21956.52174,80000
CU18_552,Virus,2018,11,28,21;00,21,Experiment,Coral_Turf,3,12,0,CU18,552,10,ba190220.059,12000,9016,3604,4134,174,417,2608695.652,1960000,783478.2609,898695.6522,37826.08696,90652.17391
CU18_553,Virus,2018,11,28,21;00,21,Experiment,Turf,1,13,0,CU18,553,10,ba190220.061,10395,8190,3844,3260,213,382,2259782.609,1780434.783,835652.1739,708695.6522,46304.34783,83043.47826
CU18_554,Virus,2018,11,28,21;00,21,Experiment,Turf,2,14,0,CU18,554,10,ba190220.063,9615,7266,3214,3156,196,218,2090217.391,1579565.217,698695.6522,686086.9565,42608.69565,47391.30435
CU18_555,Virus,2018,11,28,21;00,21,Experiment,Turf,3,15,0,CU18,555,10,ba190220.065,13515,10271,4428,4365,253,530,2938043.478,2232826.087,962608.6957,948913.0435,55000,115217.3913
CU18_556,Virus,2018,11,28,21;00,21,Control,Control,1,16,0,CU18,556,10,ba190220.067,9990,5983,2028,2863,169,362,2171739.13,1300652.174,440869.5652,622391.3043,36739.13043,78695.65217
CU18_557,Virus,2018,11,28,21;00,21,Control,Control,2,17,0,CU18,557,10,ba190220.069,12855,7740,2832,3621,184,462,2794565.217,1682608.696,615652.1739,787173.913,40000,100434.7826
CU18_558,Virus,2018,11,28,21;00,21,Control,Control,3,18,0,CU18,558,10,ba190220.071,8955,5225,1890,2349,144,285,1946739.13,1135869.565,410869.5652,510652.1739,31304.34783,61956.52174
CU18_577,Virus,2018,11,29,02;00,28,Experiment,Dictyota,1,1,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,577,10,ba190220.094,7860,3957,532,229,2,2120,1708695.652,860217.3913,115652.1739,49782.6087,434.7826087,460869.5652
CU18_578,Virus,2018,11,29,02;00,28,Experiment,Dictyota,2,2,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,578,10,ba190220.096,16185,12170,4293,3948,149,2173,3518478.261,2645652.174,933260.8696,858260.8696,32391.30435,472391.3043
CU18_579,Virus,2018,11,29,02;00,28,Experiment,Dictyota,3,3,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,579,10,ba190220.098,16290,12637,4294,3970,167,2430,3541304.348,2747173.913,933478.2609,863043.4783,36304.34783,528260.8696
CU18_580,Virus,2018,11,29,02;00,28,Experiment,Coral_Dictyota,1,4,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,580,10,ba190220.100,21405,16375,6790,7251,209,840,4653260.87,3559782.609,1476086.957,1576304.348,45434.78261,182608.6957
CU18_581,Virus,2018,11,29,02;00,28,Experiment,Coral_Dictyota,2,5,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,581,2,ba190220.103,37440,27215,9230,4181,120,8145,1627826.087,1183260.87,401304.3478,181782.6087,5217.391304,354130.4348
CU18_582,Virus,2018,11,29,02;00,28,Experiment,Coral_Dictyota,3,6,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,582,10,ba190220.104,19410,13967,5578,4689,116,1804,4219565.217,3036304.348,1212608.696,1019347.826,25217.3913,392173.913
CU18_583,Virus,2018,11,29,02;00,28,Experiment,Coral,1,7,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,583,10,ba190220.106,16005,10574,4369,3260,92,1249,3479347.826,2298695.652,949782.6087,708695.6522,20000,271521.7391
CU18_584,Virus,2018,11,29,02;00,28,Experiment,Coral,2,8,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,584,10,ba190220.108,12765,8512,3304,3217,89,697,2775000,1850434.783,718260.8696,699347.8261,19347.82609,151521.7391
CU18_585,Virus,2018,11,29,02;00,28,Experiment,Coral,3,9,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,585,10,ba190220.110,20070,14244,6287,4387,108,1485,4363043.478,3096521.739,1366739.13,953695.6522,23478.26087,322826.087
CU18_586,Virus,2018,11,29,02;00,28,Experiment,Coral_Turf,1,10,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,586,10,ba190220.130,28035,19658,6977,3397,74,5878,6094565.217,4273478.261,1516739.13,738478.2609,16086.95652,1277826.087
CU18_587,Virus,2018,11,29,02;00,28,Experiment,Coral_Turf,2,11,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,587,10,ba190220.132,15315,11724,4998,3675,91,1622,3329347.826,2548695.652,1086521.739,798913.0435,19782.6087,352608.6957
CU18_588,Virus,2018,11,29,02;00,28,Experiment,Coral_Turf,3,12,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,588,10,ba190220.134,14460,10928,4805,4339,145,618,3143478.261,2375652.174,1044565.217,943260.8696,31521.73913,134347.8261
CU18_589,Virus,2018,11,29,02;00,28,Experiment,Turf,1,13,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,589,10,ba190220.136,14190,11392,5487,4123,134,779,3084782.609,2476521.739,1192826.087,896304.3478,29130.43478,169347.8261
CU18_590,Virus,2018,11,29,02;00,28,Experiment,Turf,2,14,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,590,10,ba190220.138,12900,10205,4294,2774,88,1914,2804347.826,2218478.261,933478.2609,603043.4783,19130.43478,416086.9565
CU18_591,Virus,2018,11,29,02;00,28,Experiment,Turf,3,15,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,591,10,ba190220.140,11985,9581,4132,3363,90,1161,2605434.783,2082826.087,898260.8696,731086.9565,19565.21739,252391.3043
CU18_592,Virus,2018,11,29,02;00,28,Control,Control,1,16,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,592,10,ba190220.142,13980,8535,3416,3501,143,546,3039130.435,1855434.783,742608.6957,761086.9565,31086.95652,118695.6522
CU18_593,Virus,2018,11,29,02;00,28,Control,Control,2,17,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,593,10,ba190220.144,10725,6788,2734,2574,112,472,2331521.739,1475652.174,594347.8261,559565.2174,24347.82609,102608.6957
CU18_594,Virus,2018,11,29,02;00,28,Control,Control,3,18,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",CU18,594,10,ba190220.146,13380,8131,3250,3459,172,356,2908695.652,1767608.696,706521.7391,751956.5217,37391.30435,77391.30435
