Sample Name,Analysis_Type,Year,Month,Day,Time,Time_Point,Exp_Sample_Type,Treatment_ratio,Replicate,Bottle_Nr,MCSMAC,Treatment_Time_point
TX_CU18_091,Metabolomics,2018,10,7,06;30,0,Experiment,Coral,0,7,1,Coral_1_0_0
TX_CU18_092,Metabolomics,2018,10,7,06;30,0,Experiment,Coral_Turf_3_1,0,8,1,Coral_Turf_3_1_0
TX_CU18_093,Metabolomics,2018,10,7,06;30,0,Experiment,Coral_Turf,0,9,1,Coral_Turf_1_1_0
TX_CU18_094,Metabolomics,2018,10,7,06;30,0,Experiment,Coral_Turf_1_3,0,10,1,Coral_Turf_1_3_0
TX_CU18_095,Metabolomics,2018,10,7,06;30,0,Experiment,Turf,0,11,1,Turf_0_1_0
TX_CU18_192,Metabolomics,2018,10,8,11;29,28,Control,Control,1,1,1,Control_28
TX_CU18_193,Metabolomics,2018,10,8,11;29,28,Control,Control,2,2,1,Control_28
TX_CU18_194,Metabolomics,2018,10,8,11;29,28,Control,Control,3,3,1,Control_28
TX_CU18_195,Metabolomics,2018,10,8,11;29,28,Experiment,Coral,1,4,1,Coral_1_0_28
TX_CU18_250,Metabolomics,2018,10,8,11;29,28,Experiment,Coral,2,5,1,Coral_1_0_28
TX_CU18_251,Metabolomics,2018,10,8,11;29,28,Experiment,Coral,3,12,1,Coral_1_0_28
TX_CU18_252,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf_3_1,1,13,1,Coral_Turf_3_1_28
TX_CU18_253,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf_3_1,2,14,1,Coral_Turf_3_1_28
TX_CU18_254,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf_3_1,3,15,1,Coral_Turf_3_1_28
TX_CU18_255,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf,1,16,1,Coral_Turf_1_1_28
TX_CU18_256,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf,2,17,1,Coral_Turf_1_1_28
TX_CU18_257,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf,3,18,1,Coral_Turf_1_1_28
TX_CU18_258,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf_1_3,1,19,1,Coral_Turf_1_3_28
TX_CU18_259,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf_1_3,2,20,1,Coral_Turf_1_3_28
TX_CU18_260,Metabolomics,2018,10,8,11;29,28,Experiment,Coral_Turf_1_3,3,21,1,Coral_Turf_1_3_28
TX_CU18_279,Metabolomics,2018,10,8,11;29,28,Experiment,Turf,1,22,1,Turf_0_1_28
TX_CU18_280,Metabolomics,2018,10,8,11;29,28,Experiment,Turf,2,23,1,Turf_0_1_28
TX_CU18_281,Metabolomics,2018,10,8,11;29,28,Experiment,Turf,3,24,1,Turf_0_1_28
TX_CU18_284,Metabolomics,2018,10,9,10;26,not applicable,Blanks_technical,not applicable,not applicable,BLANK,1,not applicable_not applicable
TX_CU18_285,Metabolomics,2018,10,9,10;26,0,Control,Control,0,6,1,Control_0
TX_CU18_312,Metabolomics,2018,11,28,10;30,0,Experiment,Dictyota,0,19,2,Dictyota_0_1_0
TX_CU18_313,Metabolomics,2018,11,28,10;31,0,Experiment,Coral_Dictyota,0,20,2,Coral_Dictyota_1_1_0
TX_CU18_314,Metabolomics,2018,11,28,10;32,0,Experiment,Coral,0,21,2,Coral_1_0_0
TX_CU18_315,Metabolomics,2018,11,28,10;33,0,Experiment,Coral_Turf,0,22,2,Coral_Turf_1_1_0
TX_CU18_316,Metabolomics,2018,11,28,10;34,0,Experiment,Turf,0,23,2,Turf_0_1_0
TX_CU18_317,Metabolomics,2018,11,28,10;35,0,Control,Control,0,24,2,Control_0
TX_CU18_318,Metabolomics,2018,11,28,10;36,not applicable,Blanks_technical,not applicable,not applicable,BLANK,2,not applicable_not applicable
TX_CU18_319,Metabolomics,2018,11,29,03;17,28,Experiment,Dictyota,1,1,2,Dictyota_0_1_28
TX_CU18_320,Metabolomics,2018,11,29,03;18,28,Experiment,Dictyota,2,2,2,Dictyota_0_1_28
TX_CU18_321,Metabolomics,2018,11,29,03;19,28,Experiment,Dictyota,3,3,2,Dictyota_0_1_28
TX_CU18_322,Metabolomics,2018,11,29,03;20,28,Experiment,Coral_Dictyota,1,4,2,Coral_Dictyota_1_1_28
TX_CU18_323,Metabolomics,2018,11,29,03;21,28,Experiment,Coral_Dictyota,2,5,2,Coral_Dictyota_1_1_28
TX_CU18_324,Metabolomics,2018,11,29,03;22,28,Experiment,Coral_Dictyota,3,6,2,Coral_Dictyota_1_1_28
TX_CU18_325,Metabolomics,2018,11,29,03;23,28,Experiment,Coral,1,7,2,Coral_1_0_28
TX_CU18_326,Metabolomics,2018,11,29,03;24,28,Experiment,Coral,2,8,2,Coral_1_0_28
TX_CU18_327,Metabolomics,2018,11,29,03;25,28,Experiment,Coral,3,9,2,Coral_1_0_28
TX_CU18_328,Metabolomics,2018,11,29,03;26,28,Experiment,Coral_Turf,1,10,2,Coral_Turf_1_1_28
TX_CU18_329,Metabolomics,2018,11,29,03;27,28,Experiment,Coral_Turf,2,11,2,Coral_Turf_1_1_28
TX_CU18_330,Metabolomics,2018,11,29,03;28,28,Experiment,Coral_Turf,3,12,2,Coral_Turf_1_1_28
TX_CU18_331,Metabolomics,2018,11,29,03;29,28,Experiment,Turf,1,13,2,Turf_0_1_28
TX_CU18_332,Metabolomics,2018,11,29,03;30,28,Experiment,Turf,2,14,2,Turf_0_1_28
TX_CU18_333,Metabolomics,2018,11,29,03;31,28,Experiment,Turf,3,15,2,Turf_0_1_28
TX_CU18_334,Metabolomics,2018,11,29,03;32,28,Control,Control,1,16,2,Control_28
TX_CU18_335,Metabolomics,2018,11,29,03;33,28,Control,Control,2,17,2,Control_28
TX_CU18_336,Metabolomics,2018,11,29,03;34,28,Control,Control,3,18,2,Control_28
